Time,C4,C12,RLU,OD,RLU_OD,Phase
0,0.05,0,20,0.114,175.438596491228,followup
0,0.05,0.02,11,0.123,89.4308943089431,followup
0,0.05,0.02,21,0.111,189.189189189189,followup
0,0.05,0.02,17,0.113,150.442477876106,followup
0,0.05,0.02,21,0.113,185.840707964602,followup
0,0.05,0.02,15,0.113,132.743362831858,followup
0,0.05,0.02,16,0.114,140.350877192982,followup
0,0.05,0.05,15,0.09,166.666666666667,followup
0,0.05,0.05,14,0.102,137.254901960784,followup
0,0.05,0.05,14,0.103,135.922330097087,followup
0,0.05,0.05,11,0.102,107.843137254902,followup
0,0.05,0.05,13,0.103,126.21359223301,followup
0,0.05,0.05,12,0.1,120,followup
0,0.05,0.1,11,0.102,107.843137254902,followup
0,0.05,0.1,11,0.098,112.244897959184,followup
0,0.05,0.1,18,0.097,185.567010309278,followup
0,0.05,0.1,15,0.096,156.25,followup
0,0.05,0.1,15,0.092,163.04347826087,followup
0,0.05,0.1,12,0.086,139.53488372093,followup
0,0.05,0.2,12,0.089,134.831460674157,followup
0,0.05,0.2,14,0.107,130.841121495327,followup
0,0.05,0.2,13,0.09,144.444444444444,followup
0,0.05,0.2,15,0.098,153.061224489796,followup
0,0.05,0.2,14,0.095,147.368421052632,followup
0,0.05,0.2,13,0.16,81.25,followup
0,0.05,0.5,17,0.125,136,followup
0,0.05,0.5,19,0.097,195.876288659794,followup
0,0.05,0.5,15,0.103,145.631067961165,followup
0,0.05,0.5,14,0.104,134.615384615385,followup
0,0.05,0.5,20,0.099,202.020202020202,followup
0,0.05,0.5,13,0.087,149.425287356322,followup
0,0.1,0,38,0.13,292.307692307692,initial
0,0.1,0,42,0.13,323.076923076923,initial
0,0.1,0,36,0.133,270.676691729323,initial
0,0.1,0,45,0.132,340.909090909091,initial
0,0.1,0,40,0.132,303.030303030303,initial
0,0.1,0,10,0.119,84.0336134453782,followup
0,0.1,0,15,0.114,131.578947368421,followup
0,0.1,0,13,0.117,111.111111111111,followup
0,0.1,0,16,0.11,145.454545454545,followup
0,0.1,0,15,0.114,131.578947368421,followup
0,0.1,0,9,0.117,76.9230769230769,followup
0,0.1,0.02,18,0.122,147.540983606557,followup
0,0.1,0.02,12,0.115,104.347826086957,followup
0,0.1,0.02,8,0.121,66.1157024793389,followup
0,0.1,0.02,12,0.121,99.1735537190083,followup
0,0.1,0.02,14,0.111,126.126126126126,followup
0,0.1,0.02,15,0.112,133.928571428571,followup
0,0.1,0.05,10,0.086,116.279069767442,followup
0,0.1,0.05,17,0.101,168.316831683168,followup
0,0.1,0.05,16,0.117,136.752136752137,followup
0,0.1,0.05,15,0.108,138.888888888889,followup
0,0.1,0.05,15,0.099,151.515151515152,followup
0,0.1,0.05,11,0.1,110,followup
0,0.1,0.1,67,0.133,503.759398496241,initial
0,0.1,0.1,63,0.134,470.149253731343,initial
0,0.1,0.1,56,0.133,421.052631578947,initial
0,0.1,0.1,64,0.132,484.848484848485,initial
0,0.1,0.1,60,0.13,461.538461538462,initial
0,0.1,0.1,14,0.1,140,followup
0,0.1,0.1,10,0.1,100,followup
0,0.1,0.1,11,0.098,112.244897959184,followup
0,0.1,0.1,13,0.094,138.297872340426,followup
0,0.1,0.1,15,0.091,164.835164835165,followup
0,0.1,0.1,13,0.085,152.941176470588,followup
0,0.1,0.2,14,0.089,157.303370786517,followup
0,0.1,0.2,18,0.092,195.652173913043,followup
0,0.1,0.2,11,0.098,112.244897959184,followup
0,0.1,0.2,18,0.092,195.652173913043,followup
0,0.1,0.2,14,0.09,155.555555555556,followup
0,0.1,0.2,17,0.098,173.469387755102,followup
0,0.1,0.5,63,0.131,480.916030534351,initial
0,0.1,0.5,64,0.131,488.549618320611,initial
0,0.1,0.5,59,0.132,446.969696969697,initial
0,0.1,0.5,70,0.131,534.351145038168,initial
0,0.1,0.5,65,0.131,496.18320610687,initial
0,0.1,0.5,14,0.092,152.173913043478,followup
0,0.1,0.5,11,0.092,119.565217391304,followup
0,0.1,0.5,9,0.099,90.9090909090909,followup
0,0.1,0.5,15,0.104,144.230769230769,followup
0,0.1,0.5,14,0.098,142.857142857143,followup
0,0.1,0.5,15,0.093,161.290322580645,followup
0,0.1,1,67,0.132,507.575757575758,initial
0,0.1,1,67,0.133,503.759398496241,initial
0,0.1,1,59,0.132,446.969696969697,initial
0,0.1,1,65,0.133,488.721804511278,initial
0,0.1,1,60,0.13,461.538461538462,initial
0,0.1,2,69,0.132,522.727272727273,initial
0,0.1,2,72,0.132,545.454545454545,initial
0,0.1,2,64,0.13,492.307692307692,initial
0,0.1,2,53,0.13,407.692307692308,initial
0,0.1,2,54,0.13,415.384615384615,initial
0,0.1,3,52,0.132,393.939393939394,initial
0,0.1,3,59,0.132,446.969696969697,initial
0,0.1,3,72,0.132,545.454545454545,initial
0,0.1,3,71,0.132,537.878787878788,initial
0,0.1,3,67,0.129,519.37984496124,initial
0,0.1,4,62,0.132,469.69696969697,initial
0,0.1,4,56,0.132,424.242424242424,initial
0,0.1,4,63,0.132,477.272727272727,initial
0,0.1,4,68,0.131,519.083969465649,initial
0,0.1,4,64,0.132,484.848484848485,initial
0,0.1,5,68,0.131,519.083969465649,initial
0,0.1,5,65,0.13,500,initial
0,0.1,5,60,0.129,465.116279069767,initial
0,0.1,5,57,0.129,441.860465116279,initial
0,0.1,5,78,0.13,600,initial
0,0.2,0,15,0.119,126.050420168067,followup
0,0.2,0,16,0.108,148.148148148148,followup
0,0.2,0,16,0.112,142.857142857143,followup
0,0.2,0,20,0.124,161.290322580645,followup
0,0.2,0,13,0.114,114.035087719298,followup
0,0.2,0,14,0.123,113.821138211382,followup
0,0.2,0.02,22,0.126,174.603174603175,followup
0,0.2,0.02,43,0.111,387.387387387387,followup
0,0.2,0.02,17,0.108,157.407407407407,followup
0,0.2,0.02,15,0.111,135.135135135135,followup
0,0.2,0.02,16,0.114,140.350877192982,followup
0,0.2,0.02,16,0.113,141.592920353982,followup
0,0.2,0.05,14,0.087,160.919540229885,followup
0,0.2,0.05,11,0.101,108.910891089109,followup
0,0.2,0.05,14,0.101,138.613861386139,followup
0,0.2,0.05,8,0.104,76.9230769230769,followup
0,0.2,0.05,13,0.101,128.712871287129,followup
0,0.2,0.05,18,0.101,178.217821782178,followup
0,0.2,0.1,15,0.098,153.061224489796,followup
0,0.2,0.1,9,0.094,95.7446808510638,followup
0,0.2,0.1,11,0.093,118.279569892473,followup
0,0.2,0.1,12,0.086,139.53488372093,followup
0,0.2,0.1,15,0.093,161.290322580645,followup
0,0.2,0.1,14,0.092,152.173913043478,followup
0,0.2,0.2,15,0.091,164.835164835165,followup
0,0.2,0.2,13,0.088,147.727272727273,followup
0,0.2,0.2,12,0.093,129.032258064516,followup
0,0.2,0.2,16,0.113,141.592920353982,followup
0,0.2,0.2,13,0.096,135.416666666667,followup
0,0.2,0.2,18,0.088,204.545454545455,followup
0,0.2,0.5,13,0.089,146.067415730337,followup
0,0.2,0.5,13,0.179,72.6256983240224,followup
0,0.2,0.5,20,0.098,204.081632653061,followup
0,0.2,0.5,15,0.088,170.454545454545,followup
0,0.2,0.5,16,0.088,181.818181818182,followup
0,0.2,0.5,20,0.086,232.558139534884,followup
0,0.5,0,42,0.131,320.610687022901,initial
0,0.5,0,47,0.128,367.1875,initial
0,0.5,0,52,0.13,400,initial
0,0.5,0,40,0.131,305.343511450382,initial
0,0.5,0,41,0.129,317.829457364341,initial
0,0.5,0,19,0.11,172.727272727273,followup
0,0.5,0,18,0.116,155.172413793103,followup
0,0.5,0,21,0.111,189.189189189189,followup
0,0.5,0,16,0.131,122.137404580153,followup
0,0.5,0,15,0.123,121.951219512195,followup
0,0.5,0,18,0.115,156.521739130435,followup
0,0.5,0.02,17,0.113,150.442477876106,followup
0,0.5,0.02,13,0.107,121.495327102804,followup
0,0.5,0.02,19,0.109,174.311926605505,followup
0,0.5,0.02,13,0.111,117.117117117117,followup
0,0.5,0.02,15,0.11,136.363636363636,followup
0,0.5,0.02,10,0.112,89.2857142857143,followup
0,0.5,0.05,10,0.089,112.359550561798,followup
0,0.5,0.05,16,0.092,173.913043478261,followup
0,0.5,0.05,27,0.094,287.234042553192,followup
0,0.5,0.05,14,0.092,152.173913043478,followup
0,0.5,0.05,14,0.088,159.090909090909,followup
0,0.5,0.05,17,0.087,195.402298850575,followup
0,0.5,0.1,63,0.13,484.615384615385,initial
0,0.5,0.1,83,0.128,648.4375,initial
0,0.5,0.1,71,0.129,550.387596899225,initial
0,0.5,0.1,77,0.139,553.956834532374,initial
0,0.5,0.1,65,0.13,500,initial
0,0.5,0.1,12,0.091,131.868131868132,followup
0,0.5,0.1,9,0.089,101.123595505618,followup
0,0.5,0.1,15,0.086,174.418604651163,followup
0,0.5,0.1,9,0.086,104.651162790698,followup
0,0.5,0.1,14,0.084,166.666666666667,followup
0,0.5,0.1,10,0.087,114.942528735632,followup
0,0.5,0.2,11,0.091,120.879120879121,followup
0,0.5,0.2,17,0.092,184.782608695652,followup
0,0.5,0.2,20,0.095,210.526315789474,followup
0,0.5,0.2,18,0.094,191.489361702128,followup
0,0.5,0.2,25,0.09,277.777777777778,followup
0,0.5,0.2,13,0.096,135.416666666667,followup
0,0.5,0.5,71,0.131,541.984732824428,initial
0,0.5,0.5,68,0.131,519.083969465649,initial
0,0.5,0.5,70,0.133,526.315789473684,initial
0,0.5,0.5,62,0.136,455.882352941176,initial
0,0.5,0.5,84,0.133,631.578947368421,initial
0,0.5,0.5,11,0.104,105.769230769231,followup
0,0.5,0.5,15,0.089,168.539325842697,followup
0,0.5,0.5,16,0.093,172.043010752688,followup
