C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
0.132,11087.9433082169,50546.5827610058,106441.91261429,109869.389781975,111107.240798803,111745.742633779,112135.347441951
0.136,11345.65554273,50567.8235870696,106463.153440353,109890.630608039,111128.481624867,111766.983459843,112156.588268015
0.14,11602.1832173902,50588.966780866,106484.29663415,109911.773801835,111149.624818664,111788.126653639,112177.731461811
0.144,11857.5344806151,50610.0130139934,106505.342867277,109932.820034963,111170.671051791,111809.172886767,112198.777694939
0.148,12111.7174062577,50630.9629519045,106526.292805188,109953.769972874,111191.620989702,111830.122824678,112219.72763285
0.152,12364.739994457,50651.8172539765,106547.14710726,109974.624274946,111212.475291774,111850.97712675,112240.581934922
0.156,12616.6101724778,50672.57657358,106567.906426864,109995.383594549,111233.234611378,111871.736446353,112261.341254525
0.16,12867.335795538,50693.241558148,106588.571411432,110016.048579117,111253.899595946,111892.401430921,112282.006239093
0.164,13116.924647626,50713.8128492421,106609.142702526,110036.619870211,111274.47088704,111912.972722015,112302.577530187
0.168,13365.3844423054,50734.2910826197,106629.620935903,110057.098103589,111294.949120417,111933.450955393,112323.055763565
0.172,13612.7228235103,50754.6768882995,106650.006741583,110077.483909269,111315.334926097,111953.836761073,112343.441569245
0.176,13858.9473663291,50774.9708906256,106670.300743909,110097.777911595,111335.628928423,111974.130763399,112363.735571571
0.18,14104.0655777773,50795.1737083315,106690.503561615,110117.980729301,111355.831746129,111994.333581105,112383.938389277
0.184,14348.0848975613,50815.2859546032,106710.615807887,110138.092975572,111375.943992401,112014.445827376,112404.050635548
0.188,14591.0126988303,50835.3082371409,106730.638090425,110158.11525811,111395.966274939,112034.468109914,112424.072918086
0.192,14832.8562889197,50855.2411582203,106750.571011504,110178.048179189,111415.899196018,112054.401030993,112444.005839166
