C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0.08,31858.192463677,17233.81083558,68306.5149164815,69877.21788796,70838.6383900997,71498.6385181045,71981.5178754598
0.084,32972.2650271962,17808.1796260597,68880.8837069612,70451.5866784396,71413.0071805793,72073.0073085842,72555.8866659395
0.088,34058.8904487119,18368.3978286235,69441.101909525,71011.8048810035,71973.2253831432,72633.225511148,73116.1048685033
0.092,35119.0706986792,18914.9820169466,69987.6860978481,71558.3890693265,72519.8095714662,73179.8096994711,73662.6890568264
0.096,36153.7595640218,19448.4239233089,70521.1280042104,72091.8309756888,73053.2514778285,73713.2516058334,74196.1309631887
0.1,37163.8655100836,19969.1919140968,71041.8959949983,72612.5989664768,73574.0194686165,74234.0195966214,74716.8989539766
0.104,38150.2543409861,20477.7323613712,71550.4364422727,73121.1394137511,74082.5599158908,74742.5600438957,75225.439401251
0.108,39113.7516747662,20974.4709189437,72047.1749998452,73617.8779713236,74579.2984734633,75239.2986014682,75722.1779588235
0.112,40055.1452481659,21459.8137106295,72532.517791531,74103.2207630094,75064.6412651491,75724.641393154,76207.5207505093
0.116,40975.1870645977,21934.148437647,73006.8525185485,74577.555490027,75538.9759921667,76198.9761201716,76681.8554775268
0.12,41874.595397594,22397.8454115125,73470.549492414,75041.2524638925,76002.6729660322,76662.673094037,77145.5524513923
0.124,42754.0566609599,22851.2585182114,73923.9625991129,75494.6655705914,76456.0860727311,77116.0862007359,77598.9655580912
0.128,43614.2271558617,23294.7261189235,74367.430199825,75938.1331713034,76899.5536734431,77559.553801448,78042.4331588033
0.132,44455.7347041959,23728.5718921193,74801.2759730208,76371.9789444993,77333.399446639,77993.3995746438,78476.2789319992
0.136,45279.1801767841,24153.1056214326,75225.8097023341,76796.5126738126,77757.9331759523,78417.9333039572,78900.8126613125
0.14,46085.138924208,24568.6239333387,75641.3280142402,77212.0309857187,78173.4514878583,78833.4516158632,79316.3309732185
0.144,46874.1621174472,24975.4109883306,76048.1150692321,77618.8180407105,78580.2385428502,79240.2386708551,79723.1180282104
0.148,47646.778004883,25373.7391289771,76446.4432098786,78017.146181357,78978.5666834967,79638.5668115016,80121.4461688569
0.152,48403.4930916934,25763.8694879692,76836.5735688707,78407.2765403491,79368.6970424888,80028.6971704937,80511.576527849
0.156,49144.793247172,26146.0525590069,77218.7566399084,78789.4596113868,79750.8801135265,80410.8802415314,80893.7595988867
0.16,49871.144745058,26520.5287331495,77593.232814051,79163.9357855294,80125.3562876691,80785.356415674,81268.2357730293
0.164,50582.9952415587,26887.5288030425,77960.232883944,79530.9358554225,80492.3563575622,81152.356485567,81635.2358429223
0.168,51280.7746953743,27247.274437244,78319.9785181455,79890.6814896239,80852.1019917636,81512.1021197685,81994.9814771238
0.172,51964.8962336989,27599.9786266976,78672.6827075991,80243.3856790775,81204.8061812172,81864.8063092221,82347.6856665774
0.176,52635.7569678622,27945.8461052436,79018.5501861451,80589.2531576236,81550.6736597633,82210.6737877681,82693.5531451234
0.18,53293.7387619968,28285.0737459109,79357.7778268124,80928.4807982908,81889.9013004305,82549.9014284354,83032.7807857907
0.184,53939.2089578558,28617.8509346023,79690.5550155039,81261.2579869823,82222.678489122,82882.6786171269,83365.5579744822
0.188,54572.5210586729,28944.3599226645,80017.064003566,81587.7669750444,82549.1874771841,83209.187605189,83692.0669625443
0.192,55194.0153747389,29264.7761597193,80337.4802406208,81908.1832120992,82869.6037142389,83529.6038422438,84012.4831995991
0.196,55804.0196331731,29579.2686080366,80651.9726889381,82222.6756604166,83184.0961625562,83844.0962905611,84326.9756479164
0.2,56402.8495541837,29888.0000396297,80960.7041205312,82531.4070920097,83492.8275941494,84152.8277221543,84635.7070795095
0.204,56990.8093959475,30191.1273171723,81263.8313980739,82834.5343695523,83795.954871692,84455.9549996969,84938.8343570522
0.208,57568.1924700841,30488.8016597553,81561.5057406568,83132.2087121352,84093.6292142749,84753.6293422798,85236.5086996351
0.212,58135.2816295594,30781.168894429,81853.8729753305,83424.5759468089,84385.9964489486,85045.9965769535,85528.8759343088
0.216,58692.3497307242,31068.3696944111,82141.0737753126,83711.7767467911,84673.1972489308,85333.1973769356,85816.0767342909
0.22,59239.6600710728,31350.5398047763,82423.2438856778,83993.9468571562,84955.3673592959,85615.3674873008,86098.2468446561
0.224,59777.4668041977,31627.8102563894,82700.5143372909,84271.2173087694,85232.637810909,85892.6379389139,86375.5172962692
0.228,60306.0153333147,31900.3075687905,82973.011649692,84543.7146211704,85505.1351233101,86165.135251315,86648.0146086703
0.232,60825.5426846374,32168.1539426907,83240.8580235922,84811.5609950706,85772.9814972103,86432.9816252152,86915.8609825705
0.236,61336.2778617962,32431.467442696,83504.1715235975,85074.8744950759,86036.2949972156,86696.2951252205,87179.1744825758
0.24,61838.4421824136,32690.3621708311,83763.0662517326,85333.769223211,86295.1897253507,86955.1898533556,87438.0692107109
0.244,62332.2495978765,32944.9484314005,84017.652512302,85588.3554837804,86549.7759859201,87209.776113925,87692.6554712803
0.248,62817.906997275,33195.3328876866,84268.0369685881,85838.7399400665,86800.1604422062,87460.1605702111,87943.0399275664
0.252,63295.6144964157,33441.6187109527,84514.3227918542,86085.0257633327,87046.4462654724,87706.4463934772,88189.3257508325
0.256,63765.5657127573,33683.9057221882,84756.6098030897,86327.3127745682,87288.7332767078,87948.7334047127,88431.612762068
0.26,64227.9480270616,33922.2905270049,84994.9946079064,86565.6975793848,87527.1180815245,88187.1182095294,88669.9975668847
0.264,64682.9428325043,34156.8666440678,85229.5707249693,86800.2736964478,87761.6941985874,88421.6943265923,88904.5736839476
0.268,65130.725771939,34387.7246274187,85460.4287083202,87031.1316797986,87992.5521819383,88652.5523099432,89135.4316672985
0.272,65571.466963969,34614.9521830288,85687.6562639303,87258.3592354088,88219.7797375485,88879.7798655534,89362.6592229087
0.276,66005.3312184352,34838.634279896,85911.3383607975,87482.0413322759,88443.4618344156,89103.4619624205,89586.3413197758
0.28,66432.4782418971,35058.8532559812,86131.5573368827,87702.2603083611,88663.6808105008,89323.6809385057,89806.560295861
0.284,66853.0628336418,35275.688919263,86348.3930001645,87919.0959716429,88880.5164737827,89540.5166017875,90023.3959591428
